ENSG00000000003.15	protein_coding	TSPAN6
ENSG00000000005.6	protein_coding	TNMD
ENSG00000000419.14	protein_coding	DPM1
ENSG00000000457.14	protein_coding	SCYL3
ENSG00000000460.17	protein_coding	C1orf112
ENSG00000000938.13	protein_coding	FGR
ENSG00000000971.17	protein_coding	CFH
ENSG00000001036.14	protein_coding	FUCA2
ENSG00000001084.13	protein_coding	GCLC
ENSG00000001167.15	protein_coding	NFYA
ENSG00000001460.18	protein_coding	STPG1
ENSG00000001461.17	protein_coding	NIPAL3
ENSG00000001497.18	protein_coding	LAS1L
ENSG00000001561.7	protein_coding	ENPP4
ENSG00000001617.12	protein_coding	SEMA3F
ENSG00000001626.18	protein_coding	CFTR
ENSG00000001629.10	protein_coding	ANKIB1
ENSG00000001630.18	protein_coding	CYP51A1
ENSG00000001631.17	protein_coding	KRIT1
ENSG00000002016.18	protein_coding	RAD52
ENSG00000002330.14	protein_coding	BAD
ENSG00000002549.13	protein_coding	LAP3
ENSG00000002586.20	protein_coding	CD99
ENSG00000002586.20_PAR_Y	protein_coding	CD99
ENSG00000002587.10	protein_coding	HS3ST1
ENSG00000002726.21	protein_coding	AOC1
ENSG00000002745.13	protein_coding	WNT16
ENSG00000002746.15	protein_coding	HECW1
ENSG00000002822.16	protein_coding	MAD1L1
ENSG00000002834.18	protein_coding	LASP1
ENSG00000002919.15	protein_coding	SNX11
ENSG00000002933.9	protein_coding	TMEM176A
ENSG00000003056.8	protein_coding	M6PR
ENSG00000003096.15	protein_coding	KLHL13
ENSG00000003137.9	protein_coding	CYP26B1
ENSG00000003147.19	protein_coding	ICA1
ENSG00000003249.15	protein_coding	DBNDD1
ENSG00000003393.16	protein_coding	ALS2
ENSG00000003400.16	protein_coding	CASP10
ENSG00000003402.21	protein_coding	CFLAR
ENSG00000003436.16	protein_coding	TFPI
ENSG00000003509.16	protein_coding	NDUFAF7
ENSG00000003756.17	protein_coding	RBM5
ENSG00000003987.14	protein_coding	MTMR7
ENSG00000003989.18	protein_coding	SLC7A2
ENSG00000004059.11	protein_coding	ARF5
