"","FBS10-HCC2429-diABZI-1","FBS10-HCC2429-diABZI-2","FBS10-HCC2429-MA2-1","FBS10-HCC2429-MA2-2","FBS10-HCC2429-mock-1","FBS10-HCC2429-mock-2"
"ENSG00000186092.7",0,1.04502001394738,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0
"ENSG00000187634.13",2.56831108462827,14.6302801952633,4.59588979979583,5.78263511946516,7.71408887213156,4.21702736122086
"ENSG00000188976.11",1856.88891418624,1917.61172559343,2070.44835480802,2097.44436690315,2100.43619861182,1918.74744935549
"ENSG00000187961.15",74.4810214542198,81.5115610878953,88.4708786460697,107.391795075781,117.915358474011,103.317170349911
"ENSG00000187583.11",93.3153027414938,54.3410407252635,36.7671183983666,31.3914477913823,26.4483047044511,25.3021641673252
"ENSG00000187642.10",1.71220738975218,0,0,0.826090731352165,0,1.05425684030522
"ENSG00000188290.11",510.23780214615,447.268565969477,630.785875021977,587.350509991389,465.049357719931,426.974020323612
"ENSG00000187608.10",845.830450537577,891.402071897112,3568.70842954146,3718.23438181609,652.391516043127,583.004032688784
"ENSG00000188157.15",4439.7537616274,4339.96811792345,5255.39998606653,4907.80503496321,4465.35544426816,4300.31365160497
"ENSG00000237330.3",3.42441477950436,5.22510006973688,1.14897244994896,2.47827219405649,0,1.05425684030522
"ENSG00000131591.18",104.444650774883,125.402401673685,153.96230829316,132.174517016346,144.363663178462,175.006635490666
"ENSG00000162571.14",4.28051847438045,9.40518012552638,12.6386969494385,10.7391795075781,11.0201269601879,6.32554104183129
"ENSG00000186891.14",19.6903849821501,22.9904403068423,11.4897244994896,20.6522682838041,26.4483047044511,20.0308799657991
"ENSG00000186827.12",0.85610369487609,1.04502001394738,0,0,0,1.05425684030522
"ENSG00000078808.20",1183.99141001363,1143.25189525843,1202.97415509656,1178.83147363954,1289.35485434199,1355.77429663251
"ENSG00000176022.7",143.825420739183,120.177301603948,152.813335843211,178.435597972068,206.076374155515,171.84386496975
"ENSG00000184163.3",15.4098665077696,33.440640446316,11.4897244994896,20.6522682838041,7.71408887213156,13.7053389239678
"ENSG00000160087.21",533.352601907804,427.413185704477,497.505070827898,497.306620274003,614.923084378488,480.741119179178
"ENSG00000162572.21",39.3807699643001,15.6753002092106,24.1284214489281,21.4783590151563,17.6322031363007,11.5968252433574
"ENSG00000131584.19",598.416482718387,573.715987657109,597.465673973458,619.568048514124,522.354017912909,545.050786437796
