"","FBS2-MCF7-DMSO-1","FBS2-MCF7-DMSO-2","FBS2-MCF7-DMSO-3","FBS2-MCF7-DMSO-4","FBS2-MCF7-MA2-1","FBS2-MCF7-MA2-2","FBS2-MCF7-MA2-3","FBS2-MCF7-MA2-4","FBS2-MCF7-pIC-1","FBS2-MCF7-pIC-2","FBS2-MCF7-pIC-3","FBS2-MCF7-pIC-4"
"ENSG00000186092.7",0,0,0,0,0,0,0,0,2.68635995432011,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0,0.895453318106702,0,0,0
"ENSG00000187634.13",330.008572406801,350.41512716588,347.165479505401,389.368686403252,351.818704091793,336.079580475024,362.769094757101,340.395593220014,301.767768201959,373.641361526303,325.860632882308,353.10316171034
"ENSG00000188976.11",1415.99422912138,1470.59463204041,1486.17086626041,1562.22314422768,1373.46366818173,1282.57510043496,1452.42496302378,1203.05298312984,1759.56577007967,1966.0270782457,1754.55252819041,1713.02750072989
"ENSG00000187961.15",89.7186426165062,120.634715909565,116.002024628923,146.408957285776,103.261074187981,107.349010047346,101.143799653467,107.02745602426,125.363464534938,133.099712475035,128.433669637652,106.169531730474
"ENSG00000187583.11",94.3996152747587,71.8063785175983,79.0158718486869,76.7657776038933,86.8124075031697,91.2115771644115,114.629639607262,91.7378194493655,143.272530897072,145.928600424436,174.075386946901,114.519944338489
"ENSG00000187642.10",11.7024316456312,7.18063785175983,18.4930763901182,11.0795967675722,16.4486666848111,6.31464764984387,13.4858399537956,16.0943542893624,11.6408931353871,16.0361099367512,12.7372234351391,8.35041260801479
"ENSG00000188290.11",416.606566584472,416.47699540207,363.977367132781,407.570881092835,373.750259671541,353.620268391257,489.535990322779,407.187163520868,602.640083085811,756.904389014657,718.591688799097,713.363819941835
"ENSG00000187608.10",262.914630971849,229.780411256314,217.713944774573,183.604746434054,2221.48381726532,1309.23694606763,3651.96545948784,3095.74904755885,7939.08911833402,9596.00818615192,9720.62435158365,9086.44183360695
