"","FBS10-MCF7-diABZI-1","FBS10-MCF7-diABZI-2","FBS10-MCF7-MA2-1","FBS10-MCF7-MA2-2","FBS10-MCF7-mock-1","FBS10-MCF7-mock-2"
"ENSG00000186092.7",0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0
"ENSG00000187634.13",385.540593173801,465.027186089055,588.371726658633,587.910927996704,494.194872185975,430.905785173127
"ENSG00000188976.11",1950.38182429099,2080.01879684319,2058.35813989711,2237.39381504818,2256.37360998063,2224.21719300954
"ENSG00000187961.15",111.976863458567,153.850115771519,131.063573726843,170.184742314835,123.85529054785,150.991245478454
"ENSG00000187583.11",128.277292949371,87.7901790560645,119.748732829561,133.291546428403,91.9717504068192,113.824169668373
"ENSG00000187642.10",12.7568578623684,11.2997260171172,12.2577443053882,5.95051546555368,15.9417700705153,5.80735559532516
"ENSG00000188290.11",508.148171517675,427.651169263205,489.366868807421,386.783505260989,475.800522104611,370.509286981745
"ENSG00000187608.10",715.801468944005,583.239704421973,1194.65861807129,586.720824903593,387.507641714065,279.914539694673
"ENSG00000188157.15",4700.90212228276,5506.44340911058,5013.41742090377,4972.25072301666,4415.87030953274,4298.60461165968
"ENSG00000237330.3",401.841022664605,465.896395782679,346.988454183296,274.91381450858,400.996831773732,398.384593839306
"ENSG00000131591.18",295.533873811535,313.784699398409,278.156505391501,274.91381450858,289.404441280124,240.424521646462
"ENSG00000162571.14",7.08714325687134,4.34604846812201,6.60032385674748,9.52082474488589,7.35774003254553,17.4220667859755
"ENSG00000186891.14",29.7660016788596,57.3678397792105,15.0864545297085,17.851546396661,25.7520901139094,30.1982490956908
"ENSG00000186827.12",0,0,0.942903408106783,1.19010309311074,0,1.16147111906503
"ENSG00000078808.20",1448.6120817045,1486.34857609773,1396.43994740615,1443.59505194332,1477.67945653623,1435.57830316438
"ENSG00000176022.7",316.086589256462,340.730199900765,347.931357591403,301.096082557016,340.908621507943,361.217518029225
"ENSG00000184163.3",3.54357162843567,6.95367754899521,6.60032385674748,2.38020618622147,1.22629000542426,3.4844133571951
"ENSG00000160087.21",571.932460829517,592.801011051842,523.311391499265,591.481237276036,527.30470233243,576.089675056256
"ENSG00000162572.21",36.853144935731,40.8528556003469,30.1729090594171,11.9010309311074,20.8469300922123,27.8753068575608
